Store ID,Store Name,Store Location
1000,Miller Inc - Store 1000,"Kaylahaven, KY"
1001,Miller Inc - Store 1001,"Avilaview, MH"
1002,Miller Inc - Store 1002,"Summershaven, MN"
1003,Miller Inc - Store 1003,"New George, PR"
1004,Miller Inc - Store 1004,"Cervantesfurt, HI"
1005,Miller Inc - Store 1005,"South Gregory, MI"
1006,Miller Inc - Store 1006,"Port Elizabethville, SD"
1007,Miller Inc - Store 1007,"Jonesport, WI"
1008,Miller Inc - Store 1008,"Mackmouth, UT"
1009,Miller Inc - Store 1009,"Port Garyshire, OR"
